,job_title,company_name,job_source,job_type,address,job_description,tech_keywords,job_posted_date,job_source_url
205,"mid/sr software engineer - $150k + stock (react, python, aws)",cybercoders,linkedin,full time onsite,"guilford, ct",,python,2023-04-18 11:27:36.251601+00:00,https://www.linkedin.com/jobs/view/mid-sr-software-engineer-%24150k-%2B-stock-react-python-aws-at-cybercoders-3570046337?refId=7UzNjCGt%2BtZttccwLyS1FQ%3D%3D&trackingId=zDKP7%2BWsh4hxK2kOZZrYmg%3D%3D&position=12&pageNum=27&trk=public_jobs_jserp-result_search-card
206,sr. python developer (python / aws),intellisoft technologies,linkedin,full time onsite,"irving, tx",,python,2023-04-18 11:27:36.250819+00:00,https://www.linkedin.com/jobs/view/sr-python-developer-python-aws-at-intellisoft-technologies-3574006889?refId=iV5v4dkpACu5gWZXEzbFWg%3D%3D&trackingId=GLyE%2F6UrGIj7RrhpbqT4MA%3D%3D&position=6&pageNum=25&trk=public_jobs_jserp-result_search-card
207,"senior full stack software developer (js, python, node, aws)",liaison international,linkedin,full time onsite,"california, united states",,python,2023-04-18 11:27:36.248260+00:00,https://www.linkedin.com/jobs/view/senior-full-stack-software-developer-js-python-node-aws-at-liaison-international-3566994688?refId=ioNBOTnuCkAIlgNSzN46Ow%3D%3D&trackingId=safve%2Fi6IBsUux8XoF25Cw%3D%3D&position=14&pageNum=18&trk=public_jobs_jserp-result_search-card
208,"sr software engineer (python, aws)",optomi,linkedin,full time onsite,"baltimore, md",,python,2023-04-18 11:27:36.247980+00:00,https://www.linkedin.com/jobs/view/sr-software-engineer-python-aws-at-optomi-3566937839?refId=AYM2%2F0irBOBcwUjHJTgQhw%3D%3D&trackingId=icy5uI13B3gTnVh23brhGg%3D%3D&position=18&pageNum=17&trk=public_jobs_jserp-result_search-card
209,sr. python developer,infojini inc,linkedin,full time onsite,"irving, tx",,python,2023-04-18 11:27:36.247787+00:00,https://www.linkedin.com/jobs/view/sr-python-developer-at-infojini-inc-3573947291?refId=AYM2%2F0irBOBcwUjHJTgQhw%3D%3D&trackingId=igdyvZB%2Bnu2yI2sDaVhJSw%3D%3D&position=3&pageNum=17&trk=public_jobs_jserp-result_search-card
210,senior software engineer (python/java + azure cloud),u.s. bank,linkedin,full time onsite,"cupertino, ca",,python,2023-04-18 11:27:36.246915+00:00,https://www.linkedin.com/jobs/view/senior-software-engineer-python-java-%2B-azure-cloud-at-u-s-bank-3574421719?refId=bY%2FCcf4lHo0ZeFS0x62XWA%3D%3D&trackingId=H0N%2BRU4PE3L%2F%2FHTSqg8Iwg%3D%3D&position=16&pageNum=14&trk=public_jobs_jserp-result_search-card
211,"software engineer - $160k (javascript, python)",cybercoders,linkedin,full time onsite,"warrenton, va",,python,2023-04-18 11:27:36.244817+00:00,https://www.linkedin.com/jobs/view/software-engineer-%24160k-javascript-python-at-cybercoders-3570044677?refId=H4zKNpe0M1Q6NpDZtAS2JA%3D%3D&trackingId=ornyHapsh0NoiBu3TZijgg%3D%3D&position=8&pageNum=9&trk=public_jobs_jserp-result_search-card
212,software engineer iii (python),groups360,linkedin,full time onsite,"brentwood, tn",,python,2023-04-18 11:27:36.242037+00:00,https://www.linkedin.com/jobs/view/software-engineer-iii-python-at-groups360-3574315717?refId=QiSAKwUv6wAspN9MoZVG%2Fw%3D%3D&trackingId=eBsM8VoW0Kf5DjSfFa3DUg%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
213,python developer,ierus technologies inc,linkedin,full time onsite,"huntsville, al",,python,2023-04-18 11:27:36.241711+00:00,https://www.linkedin.com/jobs/view/python-developer-at-ierus-technologies-inc-3570022141?refId=cKIYW3ecLNuexaQtnz70fA%3D%3D&trackingId=%2FDmkWWfImWLIZ4Jj7cf%2F1w%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
214,"full-stack developer python or node (any one) juno beach, fl 42124",dice,linkedin,full time onsite,"juno beach, fl",,python,2023-04-18 11:27:36.240208+00:00,https://www.linkedin.com/jobs/view/full-stack-developer-python-or-node-any-one-juno-beach-fl-42124-at-dice-3574476642?refId=91Ncbvp9ZFnmO2VJYeITwg%3D%3D&trackingId=nbzmBaK%2FIopTd06P1VTG7Q%3D%3D&position=4&pageNum=38&trk=public_jobs_jserp-result_search-card
215,hadoop/spark/python developer,"susquehanna international group, llp (sig)",linkedin,full time onsite,"bala-cynwyd, pa",,python,2023-04-18 11:27:36.227637+00:00,https://www.linkedin.com/jobs/view/hadoop-spark-python-developer-at-susquehanna-international-group-llp-sig-3574218359?refId=a445S%2FGkjPes%2F6QfY9%2Bwqw%3D%3D&trackingId=m15bOdkt0kpLbmEo7g25Kg%3D%3D&position=25&pageNum=11&trk=public_jobs_jserp-result_search-card
216,sr software engineer (python/aws),t. rowe price,linkedin,full time onsite,"baltimore, md",,python,2023-04-18 11:27:36.219977+00:00,https://www.linkedin.com/jobs/view/sr-software-engineer-python-aws-at-t-rowe-price-3574201234?refId=eeQWIooELA%2FtzltbNAjFag%3D%3D&trackingId=fFg7%2B9KYylMXx9AoF4ATbw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
